Camera,Days,Location
M1,229,Tank
M2,280,Tank
M3,269,Tank
M4,173,Tank
M5,303,Tank
M6,93,Tank
M7,309,Tank
M8,238,Tank
M9,134,Tank
M10,419,Tank
M11,327,Tank
M12,370,Tank
M13,148,Tank
M14,330,Tank
M15,323,Tank
M16,485,Desert
M17,306,Desert
M18,243,Desert
M19,249,Desert
M20,445,Desert
M21,169,Desert
M22,190,Desert
M23,460,Desert
M24,373,Desert
M25,313,Desert
M26,99,Desert
M27,258,Desert
M28,358,Desert
M29,199,Desert
M30,194,Desert
